nama,kalori_kkal,lemak_total_g,sodium_mg,potasium_mg,serat_g,gula_g,protein_g,kalsium_mg,zat_besi_mg,vitamin_a,vitamin_e,vitamin_k,vitamin_c,vitamin_b_kompleks,deskripsi,gambar_url
Alpukat,160,14.7,7,485,6.7,0.7,2,12,0.6,0,1,1,1,1,"Alpukat adalah buah yang memiliki kulit hijau gelap dan daging lembut dengan kandungan nutrisi yang kaya seperti lemak sehat, serat, vitamin, dan mineral. Manfaat alpukat termasuk mendukung kesehatan jantung dengan lemak tak jenuh tunggal yang dapat menurunkan kadar kolesterol jahat (LDL) dan meningkatkan kadar kolesterol baik (HDL). Selain itu, alpukat juga mengandung serat tinggi yang baik untuk pencernaan, vitamin dan mineral penting untuk kesehatan tulang, serta berperan dalam menjaga sistem kekebalan tubuh dan mengurangi risiko penyakit kronis.",https://storage.googleapis.com/cooke_storage/food/alpukat.png
Anggur,69,0.4,2,191,0.9,16,0.6,14,0.3,0,0,1,1,1,"Anggur adalah buah berbentuk bulat dengan kulit yang bisa berwarna hijau, merah, atau ungu. Dalam anggur terdapat biji-biji kecil dan daging buah yang juicy dan manis. Manfaat anggur termasuk mengandung senyawa antioksidan seperti resveratrol yang dapat melindungi tubuh dari kerusakan sel dan penyakit jantung. Selain itu, anggur juga mengandung serat yang baik untuk pencernaan, vitamin C yang membantu meningkatkan sistem kekebalan tubuh, dan mineral seperti kalium yang penting untuk kesehatan jantung dan fungsi otot.",https://storage.googleapis.com/cooke_storage/food/anggur.png
Apel,52,0.2,1,107,2.4,10.4,0.3,6,0.1,1,1,1,1,1,"Apel adalah buah bulat dengan kulit yang bisa berwarna merah, hijau, atau kuning. Daging buahnya renyah dan manis, dengan biji di tengahnya. Manfaat apel termasuk mengandung serat tinggi yang baik untuk pencernaan dan menjaga kesehatan usus. Apel juga mengandung antioksidan, seperti quercetin, yang dapat melindungi sel-sel tubuh dari kerusakan oksidatif. Selain itu, apel kaya akan vitamin C yang membantu meningkatkan sistem kekebalan tubuh, serta memiliki kandungan air yang tinggi, menjadikannya buah yang baik untuk menjaga hidrasi tubuh.",https://storage.googleapis.com/cooke_storage/food/apel.png
Jambu,68,1,2,417,5.4,8.9,2.6,18,0.3,1,1,1,1,1,"Jambu adalah buah berbentuk bulat dengan kulit tipis yang bisa berwarna hijau atau merah. Daging buahnya berwarna putih atau merah muda dengan biji-biji kecil di tengahnya. Manfaat jambu termasuk kaya akan vitamin C yang baik untuk menjaga kesehatan sistem kekebalan tubuh dan membantu penyerapan zat besi. Jambu juga mengandung serat tinggi yang mendukung kesehatan pencernaan dan mengurangi risiko sembelit. Selain itu, jambu mengandung antioksidan yang dapat melindungi tubuh dari kerusakan radikal bebas, serta mengandung nutrisi seperti vitamin A dan kalium yang penting untuk kesehatan mata dan fungsi otot yang normal.",https://storage.googleapis.com/cooke_storage/food/jambu.png
Kiwi,61,0.5,3,312,3,9,1.1,34,0.3,1,1,1,1,1,"Kiwi adalah buah kecil berkulit berambut dengan daging buah yang berwarna hijau atau kekuningan. Rasanya segar dan asam manis dengan tekstur lembut. Manfaat kiwi termasuk mengandung vitamin C yang tinggi, yang berperan penting dalam menjaga kesehatan sistem kekebalan tubuh, memperkuat jaringan ikat, dan mempercepat penyembuhan luka. Kiwi juga kaya akan serat, yang membantu menjaga kesehatan pencernaan dan mengurangi risiko sembelit. Selain itu, kiwi mengandung antioksidan dan fitonutrien, seperti lutein dan zeaxanthin, yang bermanfaat untuk kesehatan mata dan melindungi mata dari kerusakan akibat radikal bebas. Kandungan kalium dalam kiwi juga mendukung fungsi otot dan menjaga tekanan darah yang sehat.",https://storage.googleapis.com/cooke_storage/food/kiwi.png
Mangga,60,0.4,1,168,1.6,14,0.8,11,0.2,1,1,1,1,1,"Mangga adalah buah tropis yang memiliki kulit berwarna hijau atau kuning dengan daging buah berwarna jingga atau kuning. Rasanya manis dan lezat, dengan tekstur yang lembut dan juicy. Manfaat mangga termasuk kaya akan vitamin C, yang berperan penting dalam meningkatkan sistem kekebalan tubuh dan melindungi sel-sel tubuh dari kerusakan. Mangga juga mengandung serat yang tinggi, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, mangga mengandung vitamin A, yang penting untuk kesehatan mata, serta antioksidan dan enzim yang dapat membantu mengurangi peradangan dalam tubuh. Konsumsi mangga juga dapat memberikan manfaat bagi kesehatan kulit dan memperbaiki tekstur rambut.",https://storage.googleapis.com/cooke_storage/food/mango.png
Melon,36,0.1,18,228,0.8,8.1,0.5,6,0.2,1,0,1,1,0,"Melon adalah buah segar yang memiliki kulit halus dan daging buah berwarna oranye, hijau, atau kuning. Daging buahnya juicy dan memiliki rasa manis yang menyegarkan. Manfaat melon termasuk mengandung banyak air, menjadikannya buah yang baik untuk menjaga hidrasi tubuh. Selain itu, melon juga kaya akan vitamin C, yang berperan penting dalam menjaga sistem kekebalan tubuh dan kesehatan kulit. Melon juga mengandung serat, yang membantu menjaga kesehatan pencernaan dan memperbaiki fungsi usus. Kandungan antioksidan dalam melon juga dapat melindungi tubuh dari kerusakan radikal bebas dan mengurangi risiko penyakit kronis.",https://storage.googleapis.com/cooke_storage/food/melon.png
Naga,60,0.4,9,36,1,9,1.2,6,0.4,0,0,0,1,0,"Buah naga, juga dikenal sebagai pitaya, adalah buah tropis dengan kulit yang berduri dan daging buah yang berwarna cerah, seperti merah muda atau putih. Daging buahnya berbiji kecil dan memiliki tekstur lembut dengan rasa manis dan segar. Manfaat buah naga termasuk mengandung antioksidan tinggi, yang membantu melawan radikal bebas dan menjaga kesehatan sel-sel tubuh. Buah naga juga mengandung serat, yang baik untuk pencernaan dan menjaga rasa kenyang. Selain itu, buah naga mengandung vitamin C dan B kompleks, yang mendukung sistem kekebalan tubuh, menjaga kesehatan kulit, dan meningkatkan energi. Buah naga juga diketahui memiliki kandungan zat besi, magnesium, dan kalsium yang berguna untuk kesehatan tulang dan otot.",https://storage.googleapis.com/cooke_storage/food/naga.png
Nanas,50,0.1,1,109,1.4,9.9,0.5,13,0.3,1,0,0,1,1,"Nanas adalah buah tropis yang memiliki kulit berduri dan daging buah yang manis dan asam. Daging buahnya berwarna kuning dengan tekstur serat yang juicy. Manfaat nanas termasuk mengandung enzim bromelain yang dapat membantu melancarkan pencernaan dan mengurangi peradangan dalam tubuh. Nanas juga kaya akan vitamin C, yang berperan dalam meningkatkan sistem kekebalan tubuh dan menjaga kesehatan kulit. Selain itu, nanas mengandung serat tinggi yang baik untuk pencernaan dan menjaga kesehatan usus. Buah nanas juga mengandung mineral seperti mangan, yang penting untuk fungsi tubuh yang normal dan pembentukan tulang yang sehat.",https://storage.googleapis.com/cooke_storage/food/nanas.png
Jeruk,47,0.1,0,181,2.4,9.4,0.9,40,0.1,1,0,0,1,1,"Buah jeruk adalah buah yang berkulit tebal dengan daging buah yang segar dan berair. Jeruk memiliki rasa asam manis yang khas dan terdapat berbagai jenis, seperti jeruk manis, jeruk mandarin, dan jeruk nipis. Manfaat jeruk termasuk mengandung vitamin C yang tinggi, yang penting untuk menjaga sistem kekebalan tubuh, memperbaiki kesehatan kulit, dan memperkuat jaringan ikat. Jeruk juga mengandung serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, jeruk mengandung senyawa flavonoid, seperti hesperidin, yang berperan sebagai antioksidan dan dapat membantu melindungi tubuh dari kerusakan radikal bebas. Konsumsi jeruk juga dikaitkan dengan penurunan risiko penyakit jantung, peningkatan penyerapan zat besi dalam tubuh, serta menjaga kesehatan mata dan tulang.",https://storage.googleapis.com/cooke_storage/food/jeruk.png
Pisang,89,0.3,1,358,2.6,12,1.1,5,0.3,1,0,0,1,1,"Buah pisang adalah buah berbentuk silinder yang dilindungi oleh kulit kuning atau hijau yang dapat dikupas. Daging buahnya lembut dan manis dengan biji-biji kecil yang tidak terasa saat dikonsumsi. Manfaat pisang termasuk mengandung serat tinggi yang baik untuk pencernaan dan menjaga kesehatan usus. Pisang juga mengandung vitamin B6 yang berperan penting dalam produksi sel darah merah dan fungsi otak yang sehat. Selain itu, pisang mengandung potassium yang tinggi, mineral yang penting untuk menjaga keseimbangan elektrolit dan tekanan darah yang sehat. Pisang juga memberikan energi yang cepat dan tahan lama karena mengandung karbohidrat kompleks, membuatnya menjadi makanan yang ideal sebelum atau setelah aktivitas fisik.",https://storage.googleapis.com/cooke_storage/food/pisang.png
Salak,81,0.4,2,256,2.6,14,0.6,30,0.9,0,0,0,1,0,"Salak adalah buah tropis dengan kulit berduri yang tebal dan daging buah yang berwarna putih atau kuning. Daging buah salak memiliki tekstur yang kenyal dan manis dengan biji yang besar di dalamnya. Manfaat salak termasuk mengandung serat yang tinggi, yang membantu menjaga kesehatan pencernaan dan mencegah sembelit. Salak juga kaya akan antioksidan, seperti tanin, yang membantu melindungi sel-sel tubuh dari kerusakan oksidatif. Selain itu, salak mengandung vitamin C dan senyawa fitokimia seperti flavonoid, yang dapat membantu memperkuat sistem kekebalan tubuh dan menjaga kesehatan kulit. Kandungan potassium dalam salak juga membantu menjaga tekanan darah yang sehat dan fungsi otot yang normal.",https://storage.googleapis.com/cooke_storage/food/salak.png
Semangka,30,0.2,1,112,0.4,6.2,0.6,7,0.2,1,0,0,1,0,"Semangka adalah buah berukuran besar dengan kulit hijau gelap dan daging buah berwarna merah atau merah muda yang sangat juicy. Daging buah semangka memiliki rasa manis dan segar dengan kandungan air yang tinggi. Manfaat semangka termasuk mengandung banyak air dan elektrolit, menjadikannya buah yang baik untuk menjaga hidrasi tubuh dan membantu mengatasi dehidrasi. Semangka juga mengandung antioksidan seperti likopen, yang dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif. Selain itu, semangka mengandung vitamin C, yang penting untuk menjaga sistem kekebalan tubuh, dan juga mengandung citrulline, senyawa yang dapat membantu meningkatkan aliran darah dan kesehatan jantung. Konsumsi semangka juga bisa membantu mengurangi peradangan dalam tubuh dan memberikan efek penyegar pada tubuh saat musim panas.",https://storage.googleapis.com/cooke_storage/food/semangka.png
Stroberi,32,0.3,1,153,2,4.9,0.7,16,0.4,0,0,1,1,1,"Stroberi adalah buah kecil berwarna merah cerah dengan tekstur lembut dan rasanya manis dengan sentuhan asam. Stroberi sering digunakan sebagai hiasan dalam makanan dan minuman karena warnanya yang menarik. Manfaat stroberi termasuk mengandung banyak vitamin C, yang membantu meningkatkan sistem kekebalan tubuh dan kesehatan kulit. Stroberi juga kaya akan serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, stroberi mengandung antioksidan, seperti anthocyanin, yang dapat melindungi tubuh dari kerusakan oksidatif dan mengurangi risiko penyakit kronis. Stroberi juga diketahui mengandung senyawa antiinflamasi yang dapat membantu mengurangi peradangan dalam tubuh dan mendukung kesehatan jantung.",https://storage.googleapis.com/cooke_storage/food/stroberi.png
Tomat,18,0.2,5,237,1.2,2.6,0.9,10,0.3,1,0,1,1,1,"Tomat adalah buah yang umumnya digunakan sebagai sayuran dalam masakan. Tomat memiliki kulit yang halus dan daging buah yang berair dengan biji-biji kecil di dalamnya. Rasanya bisa bervariasi dari manis hingga sedikit asam, tergantung pada jenisnya. Manfaat tomat termasuk mengandung likopen, suatu jenis antioksidan yang memberikan warna merah pada tomat dan memiliki potensi melawan radikal bebas dalam tubuh serta melindungi sel-sel dari kerusakan oksidatif. Tomat juga merupakan sumber vitamin C yang baik, yang penting untuk menjaga sistem kekebalan tubuh dan kesehatan kulit. Selain itu, tomat mengandung serat yang membantu menjaga kesehatan pencernaan dan kandungan air yang tinggi, yang menjadikannya buah yang baik untuk menjaga hidrasi tubuh.",https://storage.googleapis.com/cooke_storage/food/tomat.png
Bayam,23,0.4,79,558,2.2,0.4,2.9,99,2.7,1,0,1,1,0,"Bayam adalah sayuran hijau dengan daun yang lebar dan tekstur yang lembut. Bayam memiliki rasa yang ringan dan segar, serta sering digunakan dalam berbagai masakan dan salad. Manfaat bayam termasuk mengandung banyak serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Bayam juga kaya akan vitamin A, C, dan K, yang penting untuk kesehatan mata, sistem kekebalan tubuh, dan pembekuan darah yang normal. Selain itu, bayam mengandung zat besi yang tinggi, yang penting untuk membantu tubuh menghasilkan sel darah merah dan mencegah anemia. Bayam juga mengandung antioksidan seperti lutein dan zeaxanthin, yang dapat membantu menjaga kesehatan mata dan melindungi mata dari kerusakan akibat radikal bebas.",https://storage.googleapis.com/cooke_storage/food/bayam.png
Brokoli,34,0.4,33,316,2.6,1.7,2.8,47,0.7,1,0,1,1,0,"Brokoli adalah sayuran hijau yang terkenal dengan penampilannya yang menyerupai bunga dengan kepala padat dan batang yang panjang. Rasanya renyah dengan sedikit rasa manis. Manfaat brokoli termasuk mengandung serat yang tinggi, yang membantu menjaga kesehatan pencernaan dan mengatur berat badan. Brokoli juga merupakan sumber vitamin C, yang berperan penting dalam meningkatkan sistem kekebalan tubuh dan menjaga kesehatan kulit. Selain itu, brokoli mengandung senyawa fitokimia, seperti sulforaphane, yang memiliki sifat antiinflamasi dan melindungi tubuh dari kerusakan oksidatif. Kandungan vitamin K dalam brokoli juga bermanfaat untuk pembekuan darah yang normal dan menjaga kesehatan tulang.",https://storage.googleapis.com/cooke_storage/food/brokoli.png
Kembang Kol,25,0.3,30,299,2,1.9,1.9,22,0.4,0,0,1,1,0,"Kembang kol, juga dikenal sebagai bunga kol, adalah jenis sayuran yang tergolong dalam keluarga kubis-kubisan. Kembang kol memiliki penampilan yang unik dengan kepala bunga yang padat dan tekstur yang renyah. Manfaat kembang kol termasuk mengandung serat tinggi, yang baik untuk pencernaan dan menjaga kesehatan usus. Kembang kol juga mengandung senyawa sulfur yang dapat membantu detoksifikasi tubuh dan memiliki efek antiinflamasi. Selain itu, kembang kol mengandung vitamin C dan vitamin K, yang penting untuk sistem kekebalan tubuh, pembekuan darah yang normal, dan kesehatan tulang. Kandungan antioksidan dalam kembang kol juga dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif dan risiko penyakit kronis.",https://storage.googleapis.com/cooke_storage/food/kembang_kol.png
Kol,25,0.1,18,170,2.5,3.2,1.3,40,0.5,0,0,1,1,0,"Kol adalah sayuran berdaun yang termasuk dalam keluarga kubis-kubisan. Daun kol tersusun rapat membentuk kepala yang padat dengan warna hijau atau ungu. Manfaat kol termasuk mengandung serat tinggi, yang baik untuk pencernaan dan menjaga kesehatan usus. Kol juga kaya akan vitamin C dan vitamin K, yang penting untuk menjaga sistem kekebalan tubuh, pembekuan darah yang normal, dan kesehatan tulang. Selain itu, kol mengandung senyawa fitokimia seperti sulforaphane, yang memiliki efek antiinflamasi dan kemampuan melawan pertumbuhan sel kanker. Kol juga rendah kalori, sehingga dapat menjadi pilihan yang baik dalam diet penurunan berat badan dan menjaga kesehatan jantung.",https://storage.googleapis.com/cooke_storage/food/kol.png
Lobak,16,0.1,39,233,1.6,1.9,0.7,25,0.3,0,0,0,1,0,"Lobak adalah sayuran akar yang memiliki bentuk bulat atau silindris dengan kulit yang halus dan daging yang renyah. Lobak umumnya memiliki warna putih, tetapi juga dapat ditemukan dalam variasi warna lain seperti merah atau ungu. Manfaat lobak termasuk mengandung serat tinggi, yang baik untuk pencernaan dan menjaga kesehatan usus. Lobak juga rendah kalori dan kaya akan air, menjadikannya pilihan yang baik dalam program penurunan berat badan dan menjaga hidrasi tubuh. Selain itu, lobak mengandung vitamin C dan vitamin B kompleks, yang berperan penting dalam meningkatkan sistem kekebalan tubuh, menjaga kesehatan kulit, dan memperoleh energi. Lobak juga mengandung senyawa seperti glucosinolate, yang dapat membantu melawan radikal bebas dan melindungi sel-sel tubuh dari kerusakan oksidatif.",https://storage.googleapis.com/cooke_storage/food/lobak.png
Mentimun,15,0.1,2,147,0.5,1.7,0.7,16,0.3,0,0,0,1,0,"Mentimun adalah sayuran hijau berbentuk silinder dengan kulit yang halus dan daging yang renyah. Mentimun memiliki rasa yang segar dan sering digunakan dalam salad dan makanan penutup. Manfaat mentimun termasuk mengandung tinggi air, menjadikannya buah yang baik untuk menjaga hidrasi tubuh dan membantu mengatasi dehidrasi. Mentimun juga rendah kalori dan mengandung serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, mentimun mengandung antioksidan seperti vitamin C dan flavonoid, yang dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif dan meningkatkan sistem kekebalan tubuh. Mentimun juga memiliki sifat antiinflamasi dan dapat membantu menyegarkan kulit saat digunakan sebagai masker wajah atau kompres.",https://storage.googleapis.com/cooke_storage/food/mentimun.png
Paprika,26,0.3,4,211,1.7,2.4,1,7,0.3,1,0,0,1,0,"Paprika adalah sayuran berbentuk kerucut atau lonjong dengan kulit yang halus dan daging yang renyah. Paprika memiliki warna yang bervariasi, mulai dari hijau, merah, kuning, hingga oranye, dan memiliki rasa yang manis dengan sedikit kepedasan. Manfaat paprika termasuk mengandung vitamin C yang tinggi, yang berperan penting dalam meningkatkan sistem kekebalan tubuh dan menjaga kesehatan kulit. Paprika juga mengandung vitamin A, yang baik untuk kesehatan mata, serta vitamin B6 dan vitamin E. Selain itu, paprika kaya akan antioksidan, seperti beta-karoten, lutein, dan zeaxanthin, yang dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif. Paprika juga mengandung serat dan rendah kalori, menjadikannya pilihan yang baik dalam diet penurunan berat badan dan menjaga kesehatan jantung.",https://storage.googleapis.com/cooke_storage/food/paprika.png
Terong,25,0.2,2,229,3,3.5,1,9,0.2,0,0,1,0,0,"Terong adalah buah yang biasanya digunakan sebagai sayuran dalam masakan. Terong memiliki bentuk yang bulat atau lonjong dengan kulit yang halus dan warna yang bervariasi, mulai dari ungu, hijau, hingga putih. Manfaat terong termasuk mengandung serat yang tinggi, yang baik untuk pencernaan dan menjaga kesehatan usus. Terong juga kaya akan antioksidan, seperti nasunin, yang dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif. Selain itu, terong mengandung kalium dan rendah sodium, sehingga baik untuk menjaga kesehatan jantung dan menjaga keseimbangan tekanan darah. Terong juga mengandung zat-zat aktif seperti solasodine, yang diyakini memiliki sifat antiinflamasi dan dapat membantu mengurangi risiko peradangan dalam tubuh.",https://storage.googleapis.com/cooke_storage/food/terong.png
Wortel,41,0.2,69,320,2.8,4.7,0.9,33,0.3,1,0,0,1,0,"Wortel adalah sayuran akar yang dikenal dengan bentuknya yang silindris dan warnanya yang oranye cerah. Wortel memiliki tekstur renyah dan rasa manis yang khas. Manfaat wortel termasuk mengandung beta-karoten, sejenis senyawa antioksidan yang dapat diubah menjadi vitamin A oleh tubuh. Vitamin A penting untuk kesehatan mata, pertumbuhan sel, dan menjaga integritas kulit. Selain itu, wortel juga kaya akan serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, wortel mengandung senyawa fitokimia seperti falcarinol, yang memiliki efek antimikroba dan antikanker. Konsumsi wortel juga dapat membantu menjaga kesehatan jantung, mengurangi risiko penyakit jantung, serta memberikan manfaat bagi kesehatan kulit dan sistem kekebalan tubuh.",https://storage.googleapis.com/cooke_storage/food/wortel.png
Jahe,80,0.8,13,415,2,1.7,1.8,16,0.6,0,0,0,1,1,"Jahe adalah tanaman rimpang yang memiliki aroma khas dan rasa pedas. Jahe sering digunakan sebagai bahan rempah dalam masakan dan minuman, serta dalam pengobatan tradisional. Manfaat jahe termasuk memiliki sifat antiinflamasi dan dapat membantu meredakan gejala peradangan seperti nyeri sendi dan otot. Jahe juga diketahui memiliki efek menghangatkan tubuh dan dapat membantu meredakan gejala pilek dan flu. Selain itu, jahe memiliki kandungan zat aktif seperti gingerol dan shogaol, yang diyakini memiliki sifat antikanker dan melindungi sel-sel tubuh dari kerusakan oksidatif. Jahe juga digunakan dalam pengobatan tradisional untuk membantu pencernaan, meredakan mual, serta meredakan gangguan pencernaan seperti perut kembung dan mual.",https://storage.googleapis.com/cooke_storage/food/jahe.png
Lengkuas,146,0.6,26,723,1.8,3.7,2.7,62,1.1,0,0,0,1,0,"Lengkuas, juga dikenal sebagai laos, adalah tanaman rimpang yang memiliki aroma harum dan rasa pedas yang khas. Lengkuas sering digunakan sebagai bumbu dalam masakan Asia Tenggara, khususnya dalam hidangan kari dan sup. Manfaat lengkuas termasuk memiliki sifat antiinflamasi dan dapat membantu meredakan gejala peradangan seperti nyeri sendi dan otot. Lengkuas juga memiliki sifat antimikroba dan dapat membantu melawan infeksi bakteri dan virus. Selain itu, lengkuas diketahui memiliki kandungan fitokimia seperti zat antioksidan dan senyawa fenolik, yang dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif dan meningkatkan sistem kekebalan tubuh. Lengkuas juga diketahui memiliki sifat stimulan pencernaan dan dapat membantu meredakan gangguan pencernaan seperti mual, perut kembung, dan muntah.",https://storage.googleapis.com/cooke_storage/food/lengkuas.png
Singkong,160,0.3,14,271,1.8,1.7,1.4,16,0.3,0,0,0,1,0,"Singkong, juga dikenal sebagai cassava, adalah tanaman umbi-umbian yang menjadi sumber makanan penting di berbagai negara. Singkong memiliki daging yang putih dan tekstur yang lembut saat dimasak. Manfaat singkong termasuk mengandung karbohidrat kompleks yang memberikan energi yang tahan lama. Singkong juga kaya akan serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Selain itu, singkong mengandung vitamin C, vitamin B kompleks, dan mineral seperti zat besi dan kalsium. Singkong juga mengandung senyawa fitokimia seperti flavonoid dan saponin, yang memiliki sifat antioksidan dan dapat membantu melindungi sel-sel tubuh dari kerusakan oksidatif. Singkong juga merupakan sumber amilosa resisten, yang memberikan manfaat bagi kesehatan usus dan membantu mengatur kadar gula darah.",https://storage.googleapis.com/cooke_storage/food/singkong.png
Ubi Jalar,86,0.1,55,337,3,4.2,1.6,30,0.6,1,0,0,1,0,"Ubi jalar adalah tanaman umbi-umbian yang memiliki kulit berwarna oranye, ungu, atau putih. Ubi jalar memiliki daging yang manis dan tekstur yang lembut saat dimasak. Manfaat ubi jalar termasuk kaya akan serat, yang baik untuk pencernaan dan menjaga kesehatan usus. Ubi jalar juga mengandung vitamin A, vitamin C, dan vitamin E, yang penting untuk menjaga kesehatan kulit, meningkatkan sistem kekebalan tubuh, dan melindungi sel-sel tubuh dari kerusakan oksidatif. Selain itu, ubi jalar mengandung senyawa fitokimia seperti beta-karoten dan anthocyanin, yang memiliki sifat antiinflamasi dan dapat membantu melawan radikal bebas. Ubi jalar juga rendah indeks glikemik, sehingga cocok untuk dikonsumsi oleh penderita diabetes dan membantu menjaga kadar gula darah tetap stabil.",https://storage.googleapis.com/cooke_storage/food/ubijalar.png